suggested_filename,stage_name,main_niche,kol_id
linh-chi.jpg,Linh Chi,Beauty,e9e2386b-12df-40e1-bf15-b223c2f20dcf
duc-phuc.jpg,Đức Phúc,Music,d8da0b21-400a-4d94-880b-55e58475fcda
ha-my.jpg,Hà My,Lifestyle,2871ad29-3c28-445d-a0d7-6a14b1382708
quang-dai.jpg,Quang Đại,Fashion,1c77e819-af92-4328-aa42-c5ae089c7cbf
thanh-thanh.jpg,Thanh Thanh,Food,a436b31b-6a24-4016-a393-22de443ff46e
minh-tu.jpg,Minh Tú,Fitness,0122cff2-9f99-4c9b-a4b7-83daa69adf10
tuan-hung.jpg,Tuấn Hưng,Travel,d995cb73-c2f7-4e31-9449-61d94d859a50
ngoc-trinh.jpg,Ngọc Trinh,Education,1c821bfb-6922-4602-bcbb-87724fdc4dd2
son-tung.jpg,Sơn Tùng,Gaming,34d39f44-0c51-41f6-91cf-a469a322064d
phuong-ly.jpg,Phương Ly,Comedy,4d6c3f3a-843f-4153-871d-92bfdc9d479a
chau-bui.jpg,Châu Bùi,Beauty,c24f16ba-0abd-4035-87fa-f0ad955be012
ninh-duong-lan-ngoc.jpg,Ninh Dương Lan Ngọc,Music,11c18232-3db1-4468-a7ff-edffde50c30f
huy-tran.jpg,Huy Trần,Lifestyle,03eb7e07-9ea4-420f-b7e7-a1594d493bea
an-phuong.jpg,An Phương,Fashion,cf0fa35b-dedf-4e59-a5ee-ddf53ed83416
khanh-vy.jpg,Khánh Vy,Food,83f8aeaa-c860-4091-acee-b2b5db75a4d0
giang-oi.jpg,Giang Ơi,Fitness,5562b618-05ff-419e-b2df-b7b0c4bbe6a9
pew-pew.jpg,Pew Pew,Travel,1bb44801-ec00-4572-a166-8975fd299cda
do-mixi.jpg,Độ Mixi,Education,4e0c6049-ba91-4435-a23a-f0b9cbd110da
le-bong.jpg,Lê Bống,Gaming,5149b466-0f81-4066-8e09-d9ae653af00f
quynh-tran.jpg,Quỳnh Trần,Comedy,df10ae18-81c8-433a-aa5b-b378db5666cb
kol-20.jpg,KOL 20,Beauty,3b65390f-08c3-43a4-818b-a440580c60d6
son-tung-m-tp-premium.jpg,Sơn Tùng M-TP (Premium),Music,4958726b-1980-4d36-adfb-c38eca74e19d
shopwithsarah.jpg,@ShopWithSarah,Lifestyle,22eefff1-cc47-51c3-bac3-e00d11e209a3
beautybyalex.jpg,@BeautyByAlex,Beauty,80c3c446-a20a-5fa4-b400-e1c3e12b0629
techmikereviews.jpg,@TechMikeReviews,Tech,96bd9808-cdea-5844-ab8d-1c2a20df149e
glowgetternina.jpg,@GlowGetterNina,Skincare,8a03869b-cec5-5571-8189-a41dc11b9a61
fitlifejess.jpg,@FitLifeJess,Fitness,c3adb816-be61-5a6c-9008-474f56f12e6e
homewithkate.jpg,@HomeWithKate,Home Decor,64e154a0-bcfa-5633-9144-eaef37457ebd
fashionfwdtyler.jpg,@FashionFwdTyler,Fashion,f08d50ed-337d-5747-afa2-43b22a284850
foodiewithdan.jpg,@FoodieWithDan,Food,21bcbe87-9938-5e26-b28f-cdf744e4a1aa
skincaremia.jpg,@SkincareMia,Skincare,cc79a107-2c27-5298-b234-9e60145d814a
gadgetgurujake.jpg,@GadgetGuruJake,Tech,3e99f8d1-2419-5608-ba2c-ec42f7786246
wellnesswithcora.jpg,@WellnessWithCora,Wellness,8f457b69-d25b-593d-85a6-1ba8558f5d30
stylequeenrachel.jpg,@StyleQueenRachel,Fashion,a5e59481-e5fb-50b7-8933-cf0fee3e8577
techtalkpriya.jpg,@TechTalkPriya,Tech,17d7c5c8-71dd-5f67-b476-4ae273c47de4
beautyhaulsemma.jpg,@BeautyHaulsEmma,Beauty,b0a1ce6e-5dbc-54c1-b212-fec8e004e36e
fitwithmarco.jpg,@FitWithMarco,Fitness,ca63c9ea-4931-5514-9bc3-e99ad6c3964b
homeinspolily.jpg,@HomeInspoLily,Home Decor,67f03886-779b-5cc4-b5dc-f733872c2b55
fashionfindsoscar.jpg,@FashionFindsOscar,Fashion,714ccc7b-ae19-52f7-af8c-8b254462a0fa
cleaneatstara.jpg,@CleanEatsTara,Food,8d5b697e-0eed-57be-bd2d-3a3295f62ad2
glowroutineabi.jpg,@GlowRoutineAbi,Skincare,e458ebcd-002c-563b-a089-8435fc4bfd97
bytesbycam.jpg,@BytesByCam,Tech,295b06f9-28ce-5969-905b-c9a32d95d244
lifestylebylauren.jpg,@LifestyleByLauren,Lifestyle,a44bcd16-b525-56b1-9450-d89e2850e266
skincarenerddev.jpg,@SkincareNerdDev,Skincare,a1b79b4b-ba1e-5712-9990-75e075fbfff2
momlifemaggie.jpg,@MomLifeMaggie,Baby & Kids,13440efc-954d-5e28-ac56-2ff03515e74f
gymratryan.jpg,@GymRatRyan,Fitness,362bb92c-6def-5a19-9855-994266fa2026
petmombella.jpg,@PetMomBella,Pet,76bdefea-46d1-5e74-805c-1511c1d5fcfe
gaminggeargus.jpg,@GamingGearGus,Gaming,f09bc057-8901-56f0-bc46-e79b3eadb54d
cookingwithchloe.jpg,@CookingWithChloe,Food,0835259e-c4d9-56c0-bb3a-912ecd01ed34
traveltechtom.jpg,@TravelTechTom,Travel Tech,720685e3-3071-572f-adf9-273f95b72819
dormdecordiana.jpg,@DormDecorDiana,Home Decor,07ab7146-d4d1-5ba6-9da2-3c40555c2ce2
workwearwendy.jpg,@WorkwearWendy,Workwear,a876626a-789c-5317-a050-26de1a6a11bb
